importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,Tanggal_Snapshot
1978 SUKSES MANDIRI,1288,1,1442928.0,1,1,2,Lost,2025-10-23
3 POWER,717,4,611611.0,2,2,1,About to Sleep,2025-10-23
3DI GARMENTECH,533,15,17511536.0,2,3,2,At Risk,2025-10-23
3M INDONESIA,13,129,66979611339.0,4,4,4,Champions,2025-10-23
3M INDONESIA IMPORTAMA,1,6353,2320651711266.0,4,4,4,Champions,2025-10-23
3PLUS PROJECTS INDONESIA,64,23,3237031211.0,3,3,3,Loyal Customers,2025-10-23
3S INTERNATIONAL,456,3,1253646882.0,2,2,3,About to Sleep,2025-10-23
4LIFE INDONESIA TRADING,49,117,269722146.0,3,4,3,Loyal Customers,2025-10-23
AALBORG INDUSTRI INDONESIA,372,1,22000.0,2,1,1,Hibernating,2025-10-23
AAPL INDO SOLUTIONS,407,1,5640.0,2,1,1,Hibernating,2025-10-23
AASIYAH ALBAROKAH INDONESIA,335,1,68904.0,2,1,1,Hibernating,2025-10-23
ABACUS KENCANA INDUSTRIES,27,48,1007841.0,4,4,2,Potential Loyalist,2025-10-23
ABAD DUA SATU MAKMUR,63,30,152503743.0,3,4,3,Loyal Customers,2025-10-23
ABADI AGROSINDO PERSADA,56,16,5429942.0,3,3,2,Potential Loyalist,2025-10-23
ABADI BERHASIL CEMERLANG,35,11,500458.0,4,3,1,Promising,2025-10-23
ABADI BERKAT NIAGA,1403,63,6992640.0,1,4,2,Can't Lose Them,2025-10-23
ABADI CENTRAL INDONESIA,8,19,15649146157.0,4,3,4,Champions,2025-10-23
ABADI DUTA LESTARI,1276,176,41463308.0,1,4,3,Can't Lose Them,2025-10-23
ABADI ES KRISTAL,37,6,465835628.0,4,2,3,New Customers,2025-10-23
ABADI FAJAR HARMONI,1144,16,1659216202.0,1,3,3,Can't Lose Them,2025-10-23
ABADI GEMILANG PERKASA,31,3,12137.0,4,2,1,Need Attention,2025-10-23
ABADI JAYA,31,1,22300012.0,4,1,2,Need Attention,2025-10-23
ABADI JAYA JKT,2,40,2444725.0,4,4,2,Potential Loyalist,2025-10-23
