importer_name,Recency_days,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
1978 SUKSES MANDIRI,1288,1,1442928.0,1,1,2,Lost
3 POWER,717,4,611611.0,2,2,1,About to Sleep
3DI GARMENTECH,533,15,17511536.0,2,3,2,At Risk
3M INDONESIA,13,129,66979611339.0,4,4,4,Champions
3M INDONESIA IMPORTAMA,1,6353,2320651711266.0,4,4,4,Champions
3PLUS PROJECTS INDONESIA,64,23,3237031211.0,3,3,3,Loyal Customers
3S INTERNATIONAL,456,3,1253646882.0,2,2,3,About to Sleep
4LIFE INDONESIA TRADING,49,117,269722146.0,3,4,3,Loyal Customers
AALBORG INDUSTRI INDONESIA,372,1,22000.0,2,1,1,Hibernating
AAPL INDO SOLUTIONS,407,1,5640.0,2,1,1,Hibernating
AASIYAH ALBAROKAH INDONESIA,335,1,68904.0,2,1,1,Hibernating
ABACUS KENCANA INDUSTRIES,27,48,1007841.0,4,4,2,Potential Loyalist
ABAD DUA SATU MAKMUR,63,30,152503743.0,3,4,3,Loyal Customers
ABADI AGROSINDO PERSADA,56,16,5429942.0,3,3,2,Potential Loyalist
ABADI BERHASIL CEMERLANG,35,11,500458.0,4,3,1,Promising
ABADI BERKAT NIAGA,1403,63,6992640.0,1,4,2,Can't Lose Them
ABADI CENTRAL INDONESIA,8,19,15649146157.0,4,3,4,Champions
ABADI DUTA LESTARI,1276,176,41463308.0,1,4,3,Can't Lose Them
ABADI ES KRISTAL,37,6,465835628.0,4,2,3,New Customers
ABADI FAJAR HARMONI,1144,16,1659216202.0,1,3,3,Can't Lose Them
ABADI GEMILANG PERKASA,31,3,12137.0,4,2,1,Need Attention
ABADI JAYA,31,1,22300012.0,4,1,2,Need Attention
ABADI JAYA JKT,2,40,2444725.0,4,4,2,Potential Loyalist
ABADI JAYA RAYA,857,118,15315491902.0,2,4,4,At Risk
ABADI LANCAR EXPRESS,3,8,19229907322.0,4,3,4,Champions
ABADI MEDAN JAYA JAPARIS,934,12,5083404742.0,2,3,3,At Risk
ABADI RASA FOOD,937,1,181936805.0,2,1,3,Hibernating
ABADI TEKNIK SAFETI INTERNASIONAL,1667,1,915009579.0,1,1,3,Lost
ABADI TRADA MANDIRI,36,10,4297120.0,4,3,2,Potential Loyalist
ABADINUSA USAHASEMESTA,2,37,94780515285.0,4,4,4,Champions
ABASON BABY PRODUCTS INDUSTRY,640,1,6880.0,2,1,1,Hibernating
ABB SAKTI INDUSTRI,271,2,855039108.0,3,1,3,New Customers
ABBA TEKNIK INDONESIA,554,1,11759.0,2,1,1,Hibernating
ABBASY JAYA INDONESIA,1,68,284699210166.0,4,4,4,Champions
ABBOTT INDONESIA,356,4,7765.0,2,2,1,About to Sleep
ABBOTT PRODUCTS INDONESIA,3,222,1544578177.0,4,4,3,Loyal Customers
ABC JAYA SEJAHTERA,314,3,587392.0,3,2,1,Need Attention
ABC PRESIDENT INDONESIA,127,8,272208.0,3,3,1,Promising
ABDITAMA GRAHA INTERNUSA,546,1,1397773129.0,2,1,3,Hibernating
ABEBERSA PRATAMA,296,26,72880979.0,3,3,3,Loyal Customers
ABEY ABADI SUKSES,1424,14,44061252.0,1,3,3,Can't Lose Them
ABHIJANA JAYA BRAJA SEJAHTERA,1,37,66627962611.0,4,4,4,Champions
ABHIMATA MANUNGGAL,149,6,5010171067.0,3,2,3,New Customers
ABHIMATA PERSADA,216,4,81728982.0,3,2,3,New Customers
ABHIRAMA ANTARES CIPTADAHAYU,58,17,12904434886.0,3,3,4,Champions
ABHYUDAYA SUKSES PRIMA,435,2,137970.0,2,1,1,Hibernating
ABIE ISMA ALTRA,604,4,28804757.0,2,2,2,About to Sleep
ABIE PRIMA,12,16,15182055213.0,4,3,4,Champions
ABILL INDONESIA JAYA,114,15,65180618.0,3,3,3,Loyal Customers
ABIMAN ENGINEERING INDONESIA,1653,1,12200.0,1,1,1,Lost
ABIMANYU CENTRAL PERSADA,71,6,17112858195.0,3,2,4,New Customers
ABISATYA DWI MANDIRI,1247,1,115395.0,1,1,1,Lost
ABUHASDHA,339,34,17252703.0,2,4,2,At Risk
ABY ASIA SEPAKAT,1536,1,140725.0,1,1,1,Lost
ABYAKTA MAHADANA PERKASA,1548,2,489907.0,1,1,1,Lost
ABYUDAYA MULIA PRADANA,962,13,1922993.0,1,3,2,Can't Lose Them
ACA PACIFIC,1199,46,4573425.0,1,4,2,Can't Lose Them
ACBOS INDONESIA,3,44,174695054401.0,4,4,4,Champions
ACCELERO INTERNATIONAL INDONESIA,969,23,4680884.0,1,3,2,Can't Lose Them
ACE CAHAYA UTAMA,2,602,312442319084.0,4,4,4,Champions
ACE HARDWARE INDONESIA TBK,470,1883,4697721628751.0,2,4,4,At Risk
ACE OLDFIELDS TBK,84,34,31750096190.0,3,4,4,Champions
ACER INDONESIA,1,758,16882293476.0,4,4,4,Champions
ACER MANUFACTURING INDONESIA,16,52,6101448.0,4,4,2,Potential Loyalist
ACG INDONESIA,300,2,4609835.0,3,1,2,Need Attention
ACHINTYA KAYLA ABADI,463,2,249605118.0,2,1,3,Hibernating
ACIS EKAMULA SUCAKTI,29,38,85664184590.0,4,4,4,Champions
ACOOLER COLD CHAIN EQUIPMENT,126,19,6543445.0,3,3,2,Potential Loyalist
ACRYL TEXTILE MILLS,485,1,49680.0,2,1,1,Hibernating
ACRYLIC SIGNS MATERIAL,7,36,13568020392.0,4,4,4,Champions
ACTAVIS INDONESIA,826,2,55158005.0,2,1,3,Hibernating
ACTER TECHNOLOGY INDONESIA,771,1,279076.0,2,1,1,Hibernating
ADAIR ALAM MURNI,1226,1,244411.0,1,1,1,Lost
ADAKOM INTERNATIONAL TECHNOLOGY,1254,4,3778642854.0,1,2,3,Hibernating
ADAMAS MAKMUR SEJAHTERA,356,2,67730.0,2,1,1,Hibernating
ADARA BERKAH UTAMA,1645,1,17263.0,1,1,1,Lost
ADARA PRIMA INTERNASIONAL,1708,4,6984085929.0,1,2,4,Hibernating
ADARA SENTOSA ARFAINDO,297,7,123734.0,3,3,1,Promising
ADE SINAR INDONESIA,94,8,14318358920.0,3,3,4,Champions
ADE TEXTILE INDUSTRIES,1592,3,478446360.0,1,2,3,Hibernating
ADEHA METALINDO,420,14,32851975847.0,2,3,4,At Risk
ADEI PLANTATION & INDUSTRY,1735,1,5792633892.0,1,1,3,Lost
ADELA BERKAH ABADI,631,5,7182393269.0,2,2,4,About to Sleep
ADELA GRUP NUSANTARA,15,14,42087018452.0,4,3,4,Champions
ADES DRILLING INDONESIA,282,2,2980429.0,3,1,2,Need Attention
ADHI KARYA (PERSERO) TBK,779,3,255346.0,2,2,1,About to Sleep
ADHI KARYA PERKASA,541,211,428438606314.0,2,4,4,At Risk
ADHI RAJASA BUNTARA,681,1,374400.0,2,1,1,Hibernating
ADHI RAJASA DANESWARA,61,2,5812481106.0,3,1,3,New Customers
ADHI RAJASA LANCAR,453,12,13426674.0,2,3,2,At Risk
ADHIKARISMA PRATAMA,419,1,373326.0,2,1,1,Hibernating
ADHINUSA LESTARIJAYA,27,9,1084365.0,4,3,2,Potential Loyalist
ADHIREKSA MANDIRI INDONET,489,1,427575.0,2,1,1,Hibernating
ADHISAKTI SOLUSI KOMPUTINDO,103,3,5265945067.0,3,2,3,New Customers
ADHITAMA ARKA PRASADA,190,4,13576093953.0,3,2,4,New Customers
ADHITYA MANDIRIPRATAMA,7,5,4986015340.0,4,2,3,New Customers
ADHYA GRAHA KENCANA,791,1,3649720542.0,2,1,3,Hibernating
ADI ARTHA PERKASA,308,84,27077303.0,3,4,2,Potential Loyalist
ADI CITRA ANGGANA,524,1,3203718194.0,2,1,3,Hibernating
ADI FORTUNE METAL,2,50,149598104.0,4,4,3,Loyal Customers
ADI GASTI SAMITRA,1448,5,2540621.0,1,2,2,Hibernating
ADI GEOTAMA KONSTRUKSINDO,261,3,16156702.0,3,2,2,Need Attention
ADI GRAHA PRATAMA,275,2,1892539.0,3,1,2,Need Attention
ADI JAYA MANDIRINDO,538,1,118360375.0,2,1,3,Hibernating
ADI MILLINDO MESIN,990,2,48750.0,1,1,1,Lost
ADI NUSA GLORY,114,16,27223726575.0,3,3,4,Champions
ADI PRATAMA INDONESIA,142,6,301020.0,3,2,1,Need Attention
ADI PRATAMA MAKMUR,153,12,3734774.0,3,3,2,Potential Loyalist
ADI REKA MANDIRI,231,6,198525.0,3,2,1,Need Attention
ADI SAKTI STEEL,1058,3,3386466.0,1,2,2,Hibernating
ADI SATRIA ABADI,30,164,721752112.0,4,4,3,Loyal Customers
ADI SUKSES SEJAHTERA,409,1,3540.0,2,1,1,Hibernating
ADI TEKNIK JAYA,52,12,481306671.0,3,3,3,Loyal Customers
ADI TEKNIK KARYA BAKTI,437,33,25324738918.0,2,4,4,At Risk
ADICENTRA AROMETAL,13,163,462043422179.0,4,4,4,Champions
ADICIPTA SEKATA NUSAJAYA,225,2,1998.0,3,1,1,Need Attention
ADIDAS INDONESIA,2,13944,45581119033676.0,4,4,4,Champions
ADIDAYA ANDALAN ASIA,217,14,20600010.0,3,3,2,Potential Loyalist
ADIENT AUTOMOTIVE INDONESIA,163,282,583719879099.0,3,4,4,Champions
ADIGUNA METALINDO ABADI,129,9,2507194.0,3,3,2,Potential Loyalist
ADIJAYA MAKMUR SEJAHTERA,7,40,70718990.0,4,4,3,Loyal Customers
ADIKARYA BUSANA PRIMA,407,33,148073909.0,2,4,3,At Risk
ADIKARYA GEMILANG,309,91,5174801364.0,3,4,3,Loyal Customers
ADIL MAKMUR FAJAR,514,15,1269076.0,2,3,2,At Risk
ADIMACHINERY GEMAPERKASA,127,6,217242014.0,3,2,3,New Customers
ADIMAS AGUNG PERKASA,50,119,37320957871.0,3,4,4,Champions
ADIMAS ISOLASITAMA,66,28,38739656.0,3,4,3,Loyal Customers
ADIMITRA GLOBALINDO PERKASA,524,18,50671552.0,2,3,3,At Risk
ADIMITRA KARUNIA,1116,6,78460.0,1,2,1,Hibernating
ADIPATI JOYO DIRONO,1037,21,3935735.0,1,3,2,Can't Lose Them
ADIPERKASA BUMI SENTOSA,1039,63,8453152.0,1,4,2,Can't Lose Them
ADIPRIMA SURAPRINTA,6,2303,4429776367.0,4,4,3,Loyal Customers
ADIPUTRO WIRASEJATI,178,5,288936.0,3,2,1,Need Attention
ADIRA SEMESTA INDUSTRY,2,106,43641952271.0,4,4,4,Champions
ADIRAJA PERSADA TEKNOLOGI,15,30,1187223279.0,4,4,3,Loyal Customers
ADISTI GENEA ESTETICA,141,4,16875321395.0,3,2,4,New Customers
ADITYA MANDIRI SEJAHTERA,8,28,218596762.0,4,4,3,Loyal Customers
ADITYA MANUFAKTUR INDONESIA,78,5,13789641095.0,3,2,4,New Customers
ADITYA PRATAMA GARMEN,1284,2,9829360.0,1,1,2,Lost
ADITYA SARANA GRAHA,3,864,1778135729435.0,4,4,4,Champions
ADIWARA WORLDWIDE,836,2,40500.0,2,1,1,Hibernating
ADIWARNA ANUGERAH ABADI TBK,28,6,6005768.0,4,2,2,Need Attention
ADIWARNA GEMILANG,373,4,91928.0,2,2,1,About to Sleep
ADIWRAKSA ATYANTA,444,2,79063.0,2,1,1,Hibernating
ADLINA MAHIRAH SARASWATI PUTRI,1255,1,267200.0,1,1,1,Lost
ADMART INDONESIA,286,1,1168763117.0,3,1,3,New Customers
ADMIRALINDO BINTANG TERANG,1562,4,7726841.0,1,2,2,Hibernating
ADONIA FOOTWEAR INDONESIA,864,2,3239.0,2,1,1,Hibernating
ADRIFT BALI INDONESIA,1028,2,921114.0,1,1,2,Lost
ADVANCE ELECTRIC MACHINERYA,575,1,9874637.0,2,1,2,Hibernating
ADVANTECH INTERNATIONAL,16,167,11924405749.0,4,4,4,Champions
ADYA ADDIJAYA PRANA,27,1,2611722.0,4,1,2,Need Attention
ADYABINA PUTRAMAS,1301,1,7015.0,1,1,1,Lost
ADYAWINSA ELECTRICAL AND POWER,822,4,3237285.0,2,2,2,About to Sleep
ADYAWINSA STAMPING INDUSTRIES,232,1,1076126684.0,3,1,3,New Customers
ADYS LABEL INDONESIA,5,2,2209164.0,4,1,2,Need Attention
AEON INDONESIA,1282,4,15471087544.0,1,2,4,Hibernating
AEONIAN COSMETIC INDONESIA,62,3,579718.0,3,2,1,Need Attention
AERO PRO JAYA,801,4,1090140.0,2,2,2,About to Sleep
AFC BERJAYA INDONESIA,42,7,12594003814.0,4,3,4,Champions
AFOS,521,17,27473569439.0,2,3,4,At Risk
